ID,statement
nl_1_0001000,A vaccination certificate should be able to be requested upon entry by organizers of events.
nl_2_0001000,More money on defense should be spent by the Netherlands.
nl_3_0001000,All parents should have free childcare for at least three days a week.
nl_4_0001000,The European Union (EU) should be exited by the Netherlands.
nl_5_0001000,"Instead of the tax on car ownership, a tax per kilometer driven should be imposed on motorists."
nl_6_0001000,"During the upcoming New Year's Eve, setting off decorative fireworks should be allowed again."
nl_7_0001000,An additional tax should be imposed on purchasing meat.
nl_8_0001000,Less funding should be going to public broadcasting.
nl_9_0001000,
nl_10_0001000,The ban on face-covering clothing should be abolished by the government.
nl_11_0001000,"Where new residential areas are built, the decision should be made by the national government, rather than provinces and municipalities."
nl_12_0001000,The VAT on cultural activities should be reduced to 5 percent by the government.
nl_13_0001000,A new nuclear power plant should be built by the Netherlands.
nl_14_0001000,Land currently used for agriculture should be built on by houses.
nl_15_0001000,"The same tax benefits should be received by households with two partners, one of whom works, as by households with two working partners."
nl_16_0001000,An apology should be given by the Dutch government for the historical slave trade.
nl_17_0001000,The opportunity for citizens to block laws passed by parliament through a referendum should be provided.
nl_18_0001000,"As much as secondary school teachers, earnings should be earned by primary school teachers."
nl_19_0001000,
nl_20_0001000,An additional flight tax for short-distance flights should be introduced by the Netherlands.
nl_21_0001000,Integration should be completed by asylum seekers with a temporary residence permit before they get a rental home.
nl_22_0001000,The purchase and sale of soft drugs by coffee shops should be legalized.
nl_23_0001000,Dutch-language education should be made more frequently mandatory at universities and colleges by the government.
nl_24_0001000,Assistance with suicide should be able to be received by people who consider their lives complete.
nl_25_0001000,
nl_26_0001000,
nl_27_0001000,
nl_28_0001000,"A middle school should be established so that a choice between vocational education, general secondary education, or pre-university education should be made by students at a later age."
nl_29_0001000,More refugees should be accepted by the Netherlands than it currently does.
nl_30_0001000,The choice of whether to wear a face mask should always be had by people.
es_1_0001000,Rights and freedoms should be limited to combat organized crime.
es_2_0001000,
es_3_0001000,
es_4_0001000,Public services' efficiency should improve when they are privatized.
es_5_0001000,Firing should be easier for companies to do for workers.
es_6_0001000,Wealth should be redistributed from the rich to the poor by the state.
es_7_0001000,"Spending on public health care must be increased by the government, even if this means increasing taxes."
es_8_0001000,
es_9_0001000,The working day should be reduced without workers' wages being reduced.
es_10_0001000,
es_11_0001000,Taxes on fossil fuels must be raised to finance the Green Transition by the government.
es_12_0001000,
es_13_0001000,Irrigated agricultural areas should be increased by the future Spanish government by means of large water transfers.
es_14_0001000,
es_15_0001000,The strengthening of NATO in Europe should be promoted by the Spanish government.
es_16_0001000,The best way to solve the conflict in Catalonia is for a vote on their future to be able to be cast by its citizens in a referendum.
es_17_0001000,The State should be weakened by negotiating with pro-independence supporters.
es_18_0001000,Spain's territorial decentralization must be deepened by Spain.
es_19_0001000,The right to self-determination must be recognized by the Constitution.
es_20_0001000,Spanish should be endangered by the policies of linguistic immersion in the native language of bilingual Autonomous Communities.
es_21_0001000,The Law of Democratic Memory passed during this legislature should be repealed.
es_22_0001000,
es_23_0001000,Health services should be paid for by immigrants.
es_24_0001000,Access for all people must be ensured by regulating housing prices.
de_1_0001000,A general speed limit should be applied on all highways by a governing authority.
de_2_0001000,Its defense spending is to be increased by Germany.
de_3_0001000,Voting in Bundestag elections is to be allowed to young people over the age of 16.
de_4_0001000,Wind energy subsidies are to be ended by the authorities.
de_5_0001000,The ability of landlords to increase housing rents should be more strictly limited by law.
de_6_0001000,Patents are to continue to protect Covid-19 vaccines.
de_7_0001000,The phase-out of coal-fired power generation planned for 2038 will be brought forward.
de_8_0001000,Insurance in the statutory pension scheme is to be required of all employed persons.
de_9_0001000,Recognized refugees' right to join their families should be abolished.
de_10_0001000,Revenue generated in Germany from digital services is to have a national tax levied on it.
de_11_0001000,"The traditional family of father, mother and children should be promoted more strongly than other living arrangements by the authorities."
de_12_0001000,Companies should continue to make donations to political parties.
de_13_0001000,BAföG should be received by students regardless of their parents' income.
de_14_0001000,"In Germany, second citizenship in addition to the German one should generally be possible to have."
de_15_0001000,Linguistic account of different gender identities in their publications is to be taken by federal authorities.
de_16_0001000,"Go into operation as planned should be allowed to the Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany."
de_17_0001000,Complete abolition of the solidarity surcharge is to be enacted.
de_18_0001000,Headscarves are to be allowed to be worn by female civil servants while on duty.
de_19_0001000,
de_20_0001000,More responsibilities in school policy are to be given to the federal government.
de_21_0001000,More financial support is to be provided for projects to combat anti-Semitism by the federal government.
de_22_0001000,Contracts for the expansion of the communications infrastructure in Germany should not be allowed to be received by Chinese companies.
de_23_0001000,Church tax should continue to be collected for religious communities by the state.
de_24_0001000,Cannabis should generally be permitted to be sold under control.
de_25_0001000,
de_26_0001000,The state lists of the parties for the elections to the German Bundestag are to have to be filled alternately by women and men.
de_27_0001000,A flat rate per case is to continue to be charged for inpatient treatment in hospitals.
de_28_0001000,High assets are to have a tax levied again on them.
de_29_0001000,Video surveillance in public places should be allowed to use facial recognition software.
de_30_0001000,Tax breaks should continue to be received by married couples without children.
de_31_0001000,"More strongly than conventional agriculture, organic agriculture should be promoted."
de_32_0001000,The state is to recognize Islamic associations as religious communities.
de_33_0001000,
de_34_0001000,The debt brake in the Basic Law should be retained.
de_35_0001000,Politically persecuted persons are to continue to be granted asylum only.
de_36_0001000,The statutory minimum wage should be increased to at least 12 euros by 2022 at the latest by the relevant authorities.
de_37_0001000,Taxation of air traffic should be more heavily imposed.
de_38_0001000,Whether their employees are to be allowed to work from home should be decided by companies for themselves.
pl_1_0001000,
pl_2_0001000,Social transfers should be increased to reduce the effects of inflation on citizens.
pl_3_0001000,Private visits to specialists should be financed by the state if the waiting time at a public facility exceeds three months.
pl_4_0001000,A free nursery place should be provided for every child by the state.
pl_5_0001000,The content covered in the curriculum should be chosen by schools with more freedom.
pl_6_0001000,Low-rent apartments for rent should be built by the state.
pl_7_0001000,Taxes should be increased for top earners by the government.
pl_8_0001000,"Early retirement should be introduced for those who have worked a certain number of years, regardless of their age."
pl_9_0001000,Liberalization should be advocated for abortion laws.
pl_10_0001000,The same health premium should be paid by all entrepreneurs regardless of income.
pl_11_0001000,
pl_12_0001000,The migrant relocation solutions adopted by the European Union should be adopted by Poland.
pl_13_0001000,The independence of the judiciary from parliament and the government should be strengthened.
pl_14_0001000,The share of defense spending in Poland's GDP should be further increased by the state.
pl_15_0001000,The powers of local governments should be increased at the expense of the central government by the powers of local governments.
pl_16_0001000,Coal mining should be moved away from by Poland no later than 2040.
pl_17_0001000,Grain imports from Ukraine should be blocked by Poland.
pl_18_0001000,
pl_19_0001000,The state budget should limit public media funding.
pl_20_0001000,The powers to track the activities of citizens on the Internet should be limited by the secret services.
hu_1_0001000,
hu_2_0001000,
hu_3_0001000,Whether to remain part of the EU should be decided by referendum by Hungary.
