ID,statement
nl_1_0001000,A vaccination certificate should be able to be requested by organizers of events upon entry.
nl_2_0001000,More money should be spent on defense by the Netherlands.
nl_3_0001000,All parents should have free childcare for at least three days a week.
nl_4_0001000,The European Union (EU) should be exited by the Netherlands.
nl_5_0001000,A tax per kilometer driven for motorists should be imposed instead of the tax on car ownership.
nl_6_0001000,"During the upcoming New Year's Eve, decorative fireworks should be allowed to be set off again."
nl_7_0001000,An additional tax should be imposed on purchasing meat.
nl_8_0001000,Public broadcasting should be given less funding.
nl_9_0001000,A national healthcare fund should be established instead of the existing health insurance companies for everyone.
nl_10_0001000,The ban on face-covering clothing should be abolished by the government.
nl_11_0001000,"Where new residential areas are built should be decided by the national government, rather than provinces and municipalities."
nl_12_0001000,The VAT on cultural activities should be reduced by the government to 5 percent.
nl_13_0001000,A new nuclear power plant should be built by The Netherlands.
nl_14_0001000,
nl_15_0001000,"The same tax benefits should be received by households with two partners, one of whom works, as by households with two working partners."
nl_16_0001000,An apology should be apologized for the historical slave trade by the Dutch government.
nl_17_0001000,The opportunity should be had by citizens to block laws passed by parliament through a referendum.
nl_18_0001000,As much as secondary school teachers should be earned by primary school teachers.
nl_19_0001000,
nl_20_0001000,An additional flight tax for short-distance flights should be introduced by the Netherlands.
nl_21_0001000,Integration should be completed by asylum seekers with a temporary residence permit before getting a rental home.
nl_22_0001000,Coffee shops should legalize both the purchase and sale of soft drugs.
nl_23_0001000,Dutch-language education should be made more frequently mandatory at universities and colleges by the government.
nl_24_0001000,
nl_25_0001000,An increase in welfare benefits should no longer automatically be the result of an increase in minimum wages.
nl_26_0001000,
nl_27_0001000,No new restrictions should be imposed on the activities of farming businesses.
nl_28_0001000,"Someone should establish a middle school so that students make a choice between vocational education, general secondary education, or pre-university education at a later age."
nl_29_0001000,More refugees should be accepted by the Netherlands than it currently does.
nl_30_0001000,The choice of whether to wear a face mask should always be given to people by people.
es_1_0001000,
es_2_0001000,
es_3_0001000,
es_4_0001000,
es_5_0001000,Companies should find it easier to fire workers.
es_6_0001000,Measures should be taken by the state to redistribute wealth from the rich to the poor.
es_7_0001000,"Spending on public health care must be increased by the government, even if this means increasing taxes."
es_8_0001000,
es_9_0001000,
es_10_0001000,As little as possible should be intervened in the economy by Governments.
es_11_0001000,
es_12_0001000,Human action is solely attributable to climate change.
es_13_0001000,Irrigated agricultural areas should be increased by the future Spanish government by means of large water transfers.
es_14_0001000,More sovereignty must be recovered by us to better defend Spain's interests in Europe.
es_15_0001000,The strengthening of NATO in Europe should be promoted by the Spanish government.
es_16_0001000,The best way to solve the conflict in Catalonia is for their future to be voted on in a referendum by its citizens.
es_17_0001000,The State is weakened by negotiating with pro-independence supporters.
es_18_0001000,Spain must deepen its territorial decentralization.
es_19_0001000,The Constitution must recognize the right to self-determination.
es_20_0001000,Spanish is endangered by the policies of linguistic immersion in the native language of bilingual Autonomous Communities.
es_21_0001000,The Law of Democratic Memory passed during this legislature should be repealed.
es_22_0001000,More tolerance with illegal migration should be shown by Spain.
es_23_0001000,Their own health services should be paid for by immigrants.
es_24_0001000,Some authority must regulate housing prices to ensure access for all people.
de_1_0001000,All highways should have a general speed limit applied.
de_2_0001000,Its defense spending is to be increased by Germany.
de_3_0001000,The government should allow young people over the age of 16 to vote in Bundestag elections.
de_4_0001000,
de_5_0001000,Law should more strictly limit the ability of landlords to increase housing rents.
de_6_0001000,Patents are to continue to protect Covid-19 vaccines.
de_7_0001000,
de_8_0001000,The statutory pension scheme is to require all employed persons to be insured in the statutory pension scheme.
de_9_0001000,
de_10_0001000,
de_11_0001000,"The traditional family of father, mother and children should be promoted more strongly than other living arrangements."
de_12_0001000,Companies should continue to permit donations to political parties.
de_13_0001000,BAföG should be received by students regardless of their parents' income.
de_14_0001000,"In Germany, having a second citizenship should generally be possible in addition to the German one."
de_15_0001000,Linguistic account of different gender identities is to be taken by Federal authorities in their publications.
de_16_0001000,
de_17_0001000,The solidarity surcharge should be abolished completely.
de_18_0001000,Headscarves are to be allowed to be worn by female civil servants while on duty.
de_19_0001000,New cars with combustion engines should also be registered in the long term.
de_20_0001000,More responsibilities in school policy are to be given to the federal government.
de_21_0001000,More financial support is to be provided by the federal government for projects to combat anti-Semitism.
de_22_0001000,The government should not allow Chinese companies to receive contracts for the expansion of the communications infrastructure in Germany.
