ID,statement,DeltaTag
nl_1_0000001,,
nl_2_0000001,,
nl_3_0000001,Childcare should be liberated for all parents for at least three days a week.,[free→liberated; Δnet=+0.50]
nl_4_0000001,,
nl_5_0000001,,
nl_6_0000001,"During the upcoming New Year's Eve, it should be allowed to set off nonfunctional fireworks again.",[decorative→nonfunctional; Δnet=-1.12]
nl_7_0000001,There should be an additional tax on buying meat.,[purchasing→buying; Δnet=+0.50]
nl_8_0000001,Less funding should go to unexclusive broadcasting.,[public→unexclusive; Δnet=+0.62]
nl_9_0000001,,
nl_10_0000001,,
nl_11_0000001,"The national government, rather than provinces and municipalities, should decide where unweathered residential areas are built.",[new→unweathered; Δnet=-0.88]
nl_12_0000001,,
nl_13_0000001,The Netherlands should build a unweathered nuclear power plant.,[new→unweathered; Δnet=-0.88]
nl_14_0000001,Houses should be built on land currently practiced for agriculture.,[used→practiced; Δnet=+0.25]
nl_15_0000001,"Households with two partners, one of whom works, should receive the identical tax benefits as households with two working partners.",[same→identical; Δnet=+0.38]
nl_16_0000001,,
nl_17_0000001,,
nl_18_0000001,Primary school teachers should earn as much as utility school teachers.,[secondary→utility; Δnet=+1.12]
nl_19_0000001,There should be less options for community service sentences instead of prison sentences.,[fewer→less; Δnet=-0.50]
nl_20_0000001,The Netherlands should introduce an additive flight tax for short-distance flights.,[additional→additive; Δnet=-0.38]
nl_21_0000001,Asylum seekers with a temporal residence permit should complete integration before getting a rental home.,[temporary→temporal; Δnet=-0.88]
nl_22_0000001,,
nl_23_0000001,The government should make Dutch-language education more frequently obligatory at universities and colleges.,[mandatory→obligatory; Δnet=+0.25]
nl_24_0000001,,
nl_25_0000001,An increase in borderline wages should no longer automatically result in an increase in welfare benefits.,[minimum→borderline; Δnet=+0.50]
nl_26_0000001,,
nl_27_0000001,There should be no untested restrictions on the activities of farming businesses.,[new→untested; Δnet=-0.75]
nl_28_0000001,"A middle school should be established so that students feign a choice between vocational education, general secondary education, or pre-university education at a later age.",[make→feign; Δnet=-0.25]
nl_29_0000001,,
nl_30_0000001,,
es_1_0000001,Limiting rights and freedoms is indispensable to combat organized crime.,[necessary→indispensable; Δnet=-0.62]
es_2_0000001,,
es_3_0000001,New gender policies are biased against men.,[Current→New; Δnet=+0.38]
es_4_0000001,The efficiency of unexclusive services improves when they are privatized.,[public→unexclusive; Δnet=+0.62]
es_5_0000001,It should be relaxeder for companies to fire workers.,[easier→relaxeder; Δnet=-1.00]
es_6_0000001,,
es_7_0000001,"The government must increase spending on unexclusive health care, even if this means increasing taxes.",[public→unexclusive; Δnet=+0.62]
es_8_0000001,A abiding tax on large fortunes and assets is necessary.,[permanent→abiding; Δnet=+1.00]
es_9_0000001,,
es_10_0000001,Governments should intervene as lesser as possible in the economy.,[little→lesser; Δnet=+0.50]
es_11_0000001,,
